"a";"Art";"एक"
"aggregate";"VT";"संग्रहकरना"
"aggression";"N";"आक्रमण"
"aggressive";"Adj";"आक्रामक"
"aggressor";"N";"आक्रमणकर्ता"
"aggrieve";"VT";"दुखदेना"
"aggrieved";"Adj";"व्यथित"
"aggro";"N";"कठिनाई"
"aggro";"N";"हिंसात्मकबर्ताव"
"aghast";"Adj";"हक्काबक्का"
"agile";"Adj";"फुर्तीला"
"agitate";"VT";"हलचलमचाना"
"agitation";"N";"आन्दोलनबैचेनी"
"ago";"Adv";"पहलेबीताहुआ"
"agog";"Adv";"उत्सुक"
"agonize";"VI";"अत्यन्तपीडइतहोना"
"agonize";"VT";"दुदेना"
"agonizing";"Adj";"बहुतदुखी"
"agonizingly";"Adv";"बहुतअधिक"
"agony";"N";"व्यथा"
"agony aunt";"N";"सलाह कार"
"agony aunt";"N";"व्यक्तिगत समस्याओं के पत्रादि में हल देनेवाला"
"agony column";"N";"सलाह कार कालम"
"agony column";"N";"व्यक्तिगत समस्याओ के लिए सलाहवाला कालम"
"agoraphobia";"N";"भीड से डर लगना"
"agoraphobic";"Adj";"भीड के डर से पीडित व्यक्ति"
"agrarian";"Adj";"भूमिविषयक"
"agree";"VI";"सहमतहोना"
"agreeable";"Adj";"रुचिकर"
"agreeable";"Adj";"सहमत"
"agreeably";"Adv";"सहमतिसे"
"agreement";"N";"राजईनामा"
"agreement";"N";"सहमति"
"agreement";"N";"अन्वितिव्याकरण में संख्या"
"agreement";"N";"लिंग या वचन में समानता"
"agricultural";"Adj";"कृषीसम्बन्धी"
"agriculture";"N";"खेतीकृषि"
"agronomy";"N";"कृषिशास्त्र"
"agronomist";"N";"कृषिशास्त्री"
"aground";"Adv";"भूग्रस्त"
"ah";"Interj";"विस्मय"
"aha";"Interj";"आहा"
"ahem";"Interj";"अहा!"
"ahead";"Adv";"आगे"
"aid";"N";"मदद"
"aid";"N";"साधन"
"aid";"VT";"मददकरना"
"aide";"N";"सहायक"
"aide-de-camp";"N";"संदेशवाहक"
"AIDS";"N";"एड्सबीमारी"
"ail";"V";"कष्ट देनादु:ख देना"
"ailing";"Adj";"रोगीबीमार"
"aileron";"N";"सहपक्षहवाई जहाज के पीछे की पतवार"
"ailment";"N";"बीमारी"
"aim";"N";"लक्ष्य"
"aim";"V";"लक्षितकरना"
"aim";"V";"निशानाबनाना"
"aimless";"Adj";"लक्ष्यरहित"
"ain't";"Abbr:am/is/are not";"नही है"
"air";"N";"वायु"
"air";"N";"हवाईजहाज"
"air";"N";"रंग-ढंग"
"air-bed";"N";"हवा भरा गद्दा"
"air-brake";"N";"हवा खीचकर पहियो को रोकने का साधन"
"Air Chief Marshal";"N";"वायु से नाका बहुत उच्च अधिकारी"
"Air Commodore";"N";"वायु से नाका उच्च अधिकारी"
"air-conditioning";"N";"वातानुकूलन"
"air-conditioned";"Adj";"वातानुकूलित"
"air-cooled";"Adj";"वायु-शीतित"
"air hostess";"N";"विमान परिचारिका"
"air force";"N";"वायु सेना"
"air letter";"N";"हवाई पत्र"
"airpocket";"N";"हवाई गर्त्तहवाई पाकेट"
"air pump";"N";"वायु पम्प"
"air raid";"N";"हवाई हमला"
"air rifle";"N";"एक प्रकार की बन्दूक"
"air-sea rescue";"N";"वायु मार्ग द्वारा समुद्र के व्यक्तियो को बचाना"
"air speed";"N";"वायुयानकीगति"
"air terminal";"N";"एअर टर्मिनल"
"air-to-air";"Adj";"हवाई-से-हवाई"
"aircraft";"N";"वायुयान"
"Air Vice Marshal";"N";"वायु से नाका उच्च अधिकारी"
"air";"VT";"हवा देना"
"air";"VT";"व्यक्तकरना"
"airing cupboard";"N";"कपडो को हवा देने वाली अलमारी"
"airs";"N";"अकड"
"airbase";"N";"हवाई अड्डा"
"airborne";"Adj";"वायुवाहित"
"airbrush";"N";"पुताई गन"
"airbus";"N";"एक प्रकार का हवाई जहाज"
"aircraft carrier";"N";"जहाज हवाई जहाज को ले जाने वाला"
"aircraftman";"N";"वायु सेना में एक पद"
"aircraftwoman";"N";"वायु सेना में एक पद"
"aircrew";"N";"हवाई कर्मी"
"airfield";"N";"हवाई क्षेत्र"
"airgun";"N";"हवाईबन्दूक"
"airless";"Adj";"घुटन भरा"
"airlift";"N";"हवाई जहाज द्वारा मदद करना"
"airlift";"V";"हवाई जहाज द्वारा लोगो या सामानों को लाना-लेजाना"
"airline";"N";"हवाई कंपनी"
"airlock";"N";"वायुबन्ध"
"airmail";"N";"हवाई डाक"
"airman";"N";"वायुसैनिक"
"airplane";"N";"हवाई जहाज"
"airport";"N";"विमानपत्तन"
"airship";"N";"हवाई पोत"
"airsick";"Adj";"हवाई सफर से बीमार"
"airsickness";"N";"हवाई सफर से हुई बीमारी"
"airspace";"N";"हवाई क्षेत्र"
"airstrip";"N";"हवाई पट्टी"
"airtight";"Adj";"वायु रोधक"
"airway";"N";"वायु मार्ग"
"airwoman";"N";"वायु सैनिक स्त्री.जो अफसर पद से नीचे हो"
"airworthy";"Adj";"उडने योग्य"
"airworthiness";"N";"उडने-योग्य"
"airy";"Adj";"हवादार"
"airily";"Adv";"बेपरवाहीसे"
"airy-fairy";"Adv";"अव्यवहारिक"
"aisle";"N";"गलियारा"
"aisle";"N";"रास्ता"
"ajar";"Adv";"अधखुला"
"akin";"Adj";"सदृश"
"akimbo";"Adv";"कमर पर हाथ रखे हुए"
"aka";"Abbr:also known as";"ऎसा भी जाना जाता है"
"a la";"Prep";"की शैली में"
"alabaster";"N";"खडिया मिट्टी"
"a la carte";"Adj";"व्यंजन सूची से"
"alacrity";"N";"तत्परता"
"a la mode";"Adj";"फैशन प्रिय"
"alarm";"N";"खतरे का संकेत"
"alarm";"N";"संकट-घंटी"
"alarmed";"Adj";"भयभीत"
"alarmed";"Adj";"सतर्क"
"alarming";"Adj";"भयप्रद"
"alarmingly";"Adv";"खतरनाकढंगसे"
"alarmist";"N";"भयप्रसारक"
"a'larm clock";"N";"अलार्म घडी"
"alas";"Interj";"ओहहाय"
"albataross";"N";"एक बडी समुद्री चिडइया"
"albataross";"N";"मुसीब तवह चीज जो हमेशा कष्ट एवं बाधा उत्पन्न करती है"
"albeit";"Conj";"यद्यपि"
"albino";"N";"रंजकहीनव्यक्ति"
"album";"N";"संग्रह पुस्तक"
"albumen";"N";"अण्डे का सफेदांश"
"alchemy";"N";"कीमियारसायन विद्या से सम्बंधित"
"alchemist";"N";"कीमियागर"
"alcohol";"N";"मद्यसारअलकोहल"
"alcoholic";"Adj";"शराबी"
"alcoholism";"N";"मदात्यय"
"alcove";"N";"आलाकुज"
"alder";"N";"एक प्रकार का वृक्ष"
"alderman";"N";"पौर मुख्य"
"ale";"N";"शराबजौ की बनी"
"alehouse";"N";"शराब की दुकान"
"alert";"Adj";"सतर्क"
"A level";"N";"उच्च स्तरीय"
"alfalfa";"N";"चारा"
"alfresco";"Adj";"ताजी हवा मेखुले मे"
"algae";"N";"शैवालसमुद्र की काई"
"algal";"Adj";"शैवालयुक्त"
"algebra";"N";"बीजगणित"
"algorithm";"N";"प्रणाली"
"alias";"N";"उपनाम"
"alibi";"N";"बहाना"
"alien";"Adj";"पराया"
"alien";"N";"अन्यदेशी"
"alienate";"VT";"विमुखकरना"
"alienation";"N";"अन्यसंक्रामण"
"alight";"Adj";"उज्जवल चमकदार"
"alight";"V";"नीचेआना"
"alight";"V";"उतरना"
"align";"VT";"पक्तिलगाना"
"align";"VT";"सम्मिलित करना"
"alignment";"N";"संलेखन"
"alignment";"N";"सीध"
"alignment";"N";"सम्मिलित"
"alike";"Adv";"समानरूपसे"
"alike";"Adj";"समान"
"alimentary canal";"N";"आहार नली"
"alimony";"N";"परित्यक्तापत्नीकेलियेवृत्तियाजीविका"
"alive";"Adj";"जीवित"
"alive";"Adj";"फुर्तीला"
"alive";"Adj";"के विषय में सचेत"
"alkali";"N";"क्षारखट्टापन हटाने का पदार्थ"
"alkaline";"Adj";"क्षारीयक्षार के गुण वाला"
"alkaloid";"N";"क्षाराभवनस्पतियो का मूल तत्व"
"all";"Adj";"सारा"
"all";"Adv";"पूर्ण रुप से"
"all";"N";"सबकुछ"
"all-round";"Adj";"चौतरफा"
"all-clear";"N";"सब ठीक है का संकेत"
"all-embracing";"Adj";"सबकोमिलाकर"
"all-in";"Adj";"कुल"
"all out";"Adj";"भरसक"
"all-purpose";"Adj";"बहु प्रयोजन"
"all-star";"Adj";"जिसमें बहुत सारे प्रख्यात अभिनेता/अभिनेत्रिया हो"
"Allah";"N";"अल्लाह"
"allay";"VT";"दबाना"
"allay";"VT";"शांत कर देना"
"allegation";"N";"आरोप"
"allege";"V";"बिनासबूतकेआरोपलगाना"
"alleged";"Adj";"आरोपितकथित"
"allegedly";"Adv";"कथितरूपसे"
"allegiance";"N";"निष्ठा राजभक्ति"
"allegory";"N";"रूपक-कथा"
"allegorical";"Adj";"रूपकसम्बन्धी"
"allegro";"Adj";"संगीत से संबंधि तत्वरितगति"
"allegro";"N";"द्रुत"
"alleluia";"N";"प्रार्थना ईसाई धर्म का"
"allergy";"N";"प्रत्यूर्जता"
"allergic";"Adj";"सेसम्बन्धितपीडित"
"allergic";"Adj";"अति नफरत होना"
"alleviate";"V";"कमकरना"
"alleviation";"N";"उपशम"
"alley";"N";"पगडण्डी"
"alley";"N";"वीथिका"
"all-fired";"Adj";"अत्यधिक"
"alliance";"N";"संगठनसंबंध"
"allied";"Adj";"सहबध्द"
"alligator";"N";"मगरमच्छ"
